id,postcode,name,incidents,x,y
1,34032,Béziers,5,"3,188","43,309"
2,17133,Cravans,1,"-0,719","45,599"
3,11069,Carcassonne,1,"2,342","43,23"
4,75119,Paris 19e Arrondissement,1,"2,379","48,892"
5,38507,Tignieu-Jameyzieu,3,"5,184","45,75"
6,68066,Colmar,1,"7,33","48,079"
7,68297,Saint-Louis,1,"7,534","47,612"
8,92072,Sèvres,4,"2,219","48,821"
9,75112,Paris 12e Arrondissement,2,"2,382","48,84"
10,42151,Mornand-en-Forez,2,"4,107","45,683"
11,93066,Saint-Denis,1,"2,354","48,945"
12,13043,Gignac-la-Nerthe,3,"5,227","43,382"
13,12288,Valady,2,"2,426","44,449"
14,27204,Doudeauville-en-Vexin,1,"1,602","49,324"
15,77384,Réau,2,"2,63","48,62"
16,77237,Jossigny,2,"2,768","48,849"
17,69264,Villefranche-sur-Saône,1,"4,732","45,991"
18,13005,Aubagne,1,"5,552","43,307"
19,67482,Strasbourg,1,"7,696","48,583"
20,60159,Compiègne,2,"2,9","49,422"
21,92024,Clichy,1,"2,313","48,906"
22,17415,Saintes,5,"-0,648","45,726"
23,13201,Marseille 1er Arrondissement,3,"5,385","43,299"
24,66136,Perpignan,2,"2,902","42,695"
25,35177,La Mézière,2,"-1,746","48,205"
26,13210,Marseille 10e Arrondissement,1,"5,399","43,278"
27,56121,Lorient,1,"-3,381","47,739"
28,11104,Counozouls,1,"2,232","42,692"
29,34172,Montpellier,1,"3,891","43,589"
30,64059,Artigueloutan,4,"-0,256","43,285"
31,69259,Vénissieux,3,"4,872","45,719"
32,2785,Vermand,5,"3,153","49,88"
33,78133,Chambourcy,1,"2,012","48,887"
34,76366,Le Houlme,1,"1,033","49,51"
35,49246,Les Ponts-de-Cé,3,"-0,505","47,419"
36,35152,Liffré,1,"-1,48","48,228"
37,95365,Mareil-en-France,3,"2,41","49,065"
38,31555,Toulouse,2,"1,43","43,652"
39,33167,Floirac,3,"-0,5","44,835"
40,14290,Fresney-le-Puceux,1,"-0,368","49,069"
41,78172,Conflans-Sainte-Honorine,6,"2,081","49,001"
42,83082,Montferrat,2,"6,48","43,606"
43,59650,Wattrelos,4,"3,187","50,708"
44,85265,Saint-Pierre-le-Vieux,1,"-0,711","46,413"
45,22166,Penvénan,1,"-3,292","48,795"
46,59593,Thun-l'Évêque,1,"3,272","50,229"
47,88361,Provenchères-et-Colroy,1,"7,096","48,332"
48,85065,Chavagnes-en-Paillers,2,"-1,285","46,872"
49,94076,Villejuif,2,"2,368","48,796"
50,35238,Rennes,2,"-1,705","48,116"
51,13001,Aix-en-Provence,4,"5,376","43,524"
52,6069,Grasse,1,"6,936","43,654"
53,83005,Artignosc-sur-Verdon,2,"6,109","43,687"
54,88413,Saint-Dié-des-Vosges,1,"6,939","48,295"
55,44048,Couffé,1,"-1,311","47,387"
56,83069,Hyères,1,"6,146","43,116"
57,69018,Beaujeu,1,"4,592","46,147"
58,75120,Paris 20e Arrondissement,1,"2,406","48,865"
59,93078,Villepinte,2,"2,522","48,963"
60,92020,Châtillon,1,"2,283","48,805"
61,73222,Saint-Alban-Leysse,2,"5,975","45,582"
62,69086,Fleurieux-sur-l'Arbresle,2,"4,673","45,846"
63,13028,La Ciotat,1,"5,591","43,205"
64,18032,Boulleret,1,"2,895","47,422"
65,13214,Marseille 14e Arrondissement,1,"5,383","43,333"
66,84127,Sérignan-du-Comtat,1,"4,821","44,166"
67,71076,Chalon-sur-Saône,1,"4,845","46,785"
68,45004,Amilly,1,"2,825","47,984"
69,14437,Mondeville,1,"-0,308","49,161"
70,33214,Lacanau,1,"-1,174","45,043"
71,59112,Bruay-sur-l'Escaut,2,"3,548","50,393"
72,53147,Mayenne,1,"-0,59","48,299"
73,94034,Fresnes,1,"2,319","48,761"
74,17306,Royan,1,"-1,018","45,633"
75,75116,Paris 16e Arrondissement,1,"2,228","48,859"
76,66136,Perpignan,1,"2,893","42,707"
77,35238,Rennes,1,"-1,692","48,116"
78,81065,Castres,1,"2,231","43,598"
79,64102,Bayonne,1,"-1,481","43,494"
